	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
night	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	hrkɨt	gyə̃m
year	tahun	tahun	tahun	tahun	tahun	tahun	tahun	tahun	cnrɔy	tahun
sand	pasi	pasi	pasi	pasi	pasi	?	pasi	pasi	pasir	pasi
sea (ocean)	lawot	lawot	lawot	lawot	lawot	?	lawot	lawot	lawot	lawot
name	namɔ	knmɔh	knmɔh	knmɔh	knmɔh	knmɔh	klmɔh	namɔ	knmɔh	knmɔh
good	bayik	?	ʔabən	ʔabən	ʔabən	ʔabən	ʔabən	ʔabən	btʔɛt	ʔabən
bad (unsuitable)	blap ʔm=ʔabən	tidaʔ bayiʔ	blap ʔm=ʔabən	braʔ ʔm=ʔabən	blap ʔm=ʔabən	jbec	jbec	jbec	jbec	jbec
big	bəw	?	bəw	bəw	bəw	bəw	bəw	bəw	bəw	bəw
small	ʔhəy	knɔm	ʔhəy	wɔŋ	ʔhəy	ʔhəy	ʔhəy	ʔajɔʔ	ʔhəy	ʔhəy
warm (weather)	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt	bkɨt
cold (weather)	sjuʔ	blhɛ̃t	blhɛ̃t	blhɛ̃t	blhɛ̃t	sjuʔ	sjuʔ	sjuʔ	sjuʔ	blhɛ̃t
sharp	tajam	makan	tajam	makan	tajam	makan	makan	tajam	cmɛʔ	makan
dull (blunt)	blap ʔm=makan	?	blə̃n	blə̃n	blə̃n	blə̃n	blə̃n	blə̃n	blə̃n	tumpul
near	pndɛh	pndəh	pndɛh	pndəh	pdəh	pdəh	pndəh	pndəh	pndəh	pndɛh
far	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ	mɲjiʔ
heavy	hɲjut	brat	hɲjut	hɲjut	hɲjut	hɲjut	hɲjut	hɲjut	hɲjut	hɲjut
light (weight)	hatɔ̃p	riŋan	hampɔ̃l	hampɔ̃l	hampɔ̃l	hatɔ̃p	hampɔ̃l	hampɔ̃l	hampɔ̃l	hampɔ̃l
wide	lbar	lbar	mntec	bəw	tbɛl	?	lwəs	bəw	tbɛl	tbɛl
narrow	suntoʔ	smpit	suntoʔ	kpic	nipis	?	suntoʔ	nipis	hrtɛ̃l	nipis
long	mntec	btec	mntec	btec	btec	?	mntec	btec	mntec	mntec
short	cnhɛ̃t	cnhãt	cnhɛ̃t	cnhə̃t	cnhə̃t	?	cnhɛ̃t	cnhɛ̃t	cnhə̃t	cnhɛ̃t
new	baruʔ	baruʔ	baruʔ	baruʔ	baruʔ	?	baruʔ	baruʔ	baruʔ	baruʔ
old	kbit	?	kbit	kbit	bakɛs	bidan	manah	manah	manɛh	manɛh
wet	pcãʔ	?	pcãʔ	pcãʔ	pcãʔ	pcãʔ	pcãʔ	pcãʔ	pcɛ̃ʔ	pcɛ̃ʔ
dry	kriŋ	kriŋ	kriŋ	kriŋ	kriŋ	bʔɔ̃ŋ	kriŋ	kriŋ	kriŋ	kriŋ
thick	tbɛl	?	tbɛl	tbɛl	tbɛl	tbɛl	lwəs	tbɛl	?	?
thin	nipis	nipis	nipis	nipis	nipis	?	nipis	?	?	?
full	kɔm	?	sbem	kɔm	sbem	?	sbem	kɔm	sbem	kɔm
straight	lurus	?	btul	btul	btul	?	btul	btec	btul	lurus
smooth	blac	?	blac	blac	blac	blac	blac	blac	bclac	krcãp
dirty	jʔɔm	?	jbec	jʔɔm	jʔɔm	jʔɔm	jʔɔm	jbec	jʔɔm	jʔɔm
rotten (of wood)	ʔnsɔʔ	ʔnsɔʔ	rput	?	hancɔ	?	sɔʔ	rapuh	ʔnsɔʔ	ʔnsɔʔ
right (correct)	btul	btul	btul	btul	btul	?	btul	btul	btul	?
green	hijaw	hijaw	hijaw	blʔãɲ	hijaw	?	hijaw	hijaw	hijaw	hija
yellow	kuniŋ	kuniŋ	kuniŋ	kuniŋ	kuniŋ	?	kuniŋ	kuniŋ	kuniŋ	kuniŋ
black	hitam	gwɛ̃c	gwɛ̃c	gwɛ̃c	bltiŋ	?	gwɛ̃c	gwɛ̃c	gwɛ̃c	gwɛ̃c
white	puteh	puteh	puteh	bkɔɲ	puteh	?	?	bkɔɲ	puteh	puteh
red	merah	merah	merah	btɛh	btɛh	?	brtɛh	brtɛh	merah	merah
to walk	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can	cɨp can
to fly	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy	kapɨy
to swim	kicwac	brnaŋ	kicwac	kickac	brnaŋ	kayoh	kicwac	kicwac	kicwac	brnaŋ
to float	lampoŋ	?	timbul	timbul	timbul	?	ʔayũt	timbul	lampoŋ	timbul
to stand	hɲjaɲ	?	hɲjaɲ	hɲjaɲ	hɲjaɲ	hɲjaɲ	hɲjaɲ	hɲjaɲ	hɲjaɲ	hɲjaɲ
to sit	ŋɔk	?	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk
to lie (on side)	pʔjɨʔ	?	pʔjɨʔ	pʔjɨʔ	tek	pʔjɨʔ	tek	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ
to come	lɔ̃c	?	lɔ̃c	lɛw	lɛw	?	lɛw	cɨp	cɨp	cɨp
to turn (veer)	brilɛʔ	ʔŋat	pusiŋ	pusiŋ	pusiŋ	?	pusiŋ	pusiŋ	pusiŋ	pusiŋ
to eat	ciʔ	ciʔ	ciʔ	ciʔ	ciʔ	ciʔ	ciʔ	ciʔ	gey	gey
to drink	ʔãm	ʔãm	ʔãm	ʔãm	ʔãm	ʔãm	ʔãm	ʔãm	ʔɛ̃m	ʔɛ̃m
to bite	kap	?	kap	kap	tgɨɲ	kap	kap	kap	kap	kap
to cut	kɛc	get	kɛc	kɛc	get	kɛc	katəm	katəm	katəm	katəm
to dig	bay	ʔawɛy	bay	bay	bay	bay	bay	bay	bay	bay
to hunt	buru	rabuk	buru	sam	sam	haluh	sam	hamɛt	buru	bdɛl
to kill	bunuh	bunuh	bunuh	cek	bunuh	?	bunuh	bunuh	rmpət	bdɛl
to shoot (blowpipe)	bdɛl	bdɛl	bdɛl	bdɛl	bdɛl	?	bdɛl	bdɛl	bdɛl	bdɛl
to die	kmɔc	sarɔʔ	kmɔc	kmɔc	kmɔc	kmɔc	kmɔc	kmɔc	ʔnsɔʔ	ʔnsɔʔ
to live	gɔs	gɔs	gɔs	gɔs	gɔs	gɔs	gɔs	gɔs	gɔs	gɔs
to sleep	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ	pʔjɨʔ
to wash (bathe)	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay	ʔnay
to breathe	?	nkjɨk	jkjɨk	jkjɨk	nkjɨk	jkjɨk	nkjɨk	tarik klaŋes	jkjɨk	jkjɨk
to vomit	kɨʔ	?	kɨʔ	kɨʔ	kɨʔ	kɨʔ	kɨʔ	kɨʔ	kɨʔ	kɨʔ
to suck	ʔisap	ʔisap	ʔisap	ʔisap	ʔisap	ʔisap	ʔisap	jɔt	sruc	sruc
to hit	pukul	cɔ̃ŋ	pal	pal	pal	rpɛc	pal	pal	pal	pal
to hold	pgɛŋ	pgɛŋ	pgɛŋ	pgɛŋ	pgɛŋ	?	pgɛŋ	pgɛŋ	pgɛŋ	pgɛŋ
to give	ʔɛk	bagiʔ	ʔɛk	ʔɛk	bagiʔ	?	ʔɛk	ʔɛk	ʔɛk	ʔɛk
to split	blah	?	blah	pɛk	blah	?	blah	pɛk	pɛk	pɛk
to pull	tarik	tarik	tarik	tarik	tarik	?	keŋ	tarik	tarik	tarik
to push	toklɛk	?	tolɔʔ	toklɛk	tolɛk	?	tolɔʔ	toklɛk	tolɔʔ	tolɔʔ
to squeeze	hɔ̃t	?	cpɛ̃t	cpɛ̃t	cpɛ̃t	?	cpɛ̃t	cpɛ̃t	cpĩt	pulas
to stab	tikam	tikam	cek	cek	cek	?	cek	cek	cek	cek
to spit	kbɛc	maɲ	kbɛc	kbɛc	kbɛc	?	?	kbɛc	kbɛc	khɛʔ
to throw	paŋkaʔ	baliŋ	paŋkaʔ	paŋkaʔ	puŋal	?	paŋkaʔ	paŋkaʔ	paŋkaʔ	paŋkaʔ
to tie	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt	?	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt
to rub	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	?	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ
to wipe	sapuh	sapuh	sapuh	sapuh	sapuh	?	sapuh	hilap	sapuh	sapuh
to scratch	kac	kac	kac	kac	kac	?	kac	kac	kac	kac
to sew	jahit	jahit	jahit	jahit	jahit	?	jahit	jahit	jahit	jahit
to laugh	lkluk	lkluk	lkluk	lkluk	lkluk	?	lkluk	lkluk	sitkət	lkluk
to sing	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	?	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ
to dance	jogɛʔ	?	kŋsiŋ	kŋsiŋ	kŋsiŋ	?	jogɛʔ	jogɛʔ	kŋsiŋ	jogɛʔ
to play	mayin	mayin	pnguh	mayin	mayin	?	mayin	pnguh	mayin	mnmin
to fight	lawən	lawən	lawən	lawən	lawən	?	balɔh	balɔh	guhcɔh	guhcɔh
to fear	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	?	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ
to say	cɔl	cɔl	cɔl	cɔl	ckwɨk	?	cɔl	cɔl	cɔl	cɔl
to hear	kjeŋ	ʔnteŋ	kjeŋ	kjeŋ	kjeŋ	?	kjeŋ	kjeŋ	kjeŋ	kjeŋ
to smell	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	?	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ
to know	ltʔet	ʔtʔet	ltʔet	ltʔet	ltʔet	?	ltʔet	ltʔet	ltʔet	ltʔet
to count	bilaŋ	bilaŋ	bilaŋ	bilaŋ	bilaŋ	?	bilaŋ	bilaŋ	bilaŋ	bilɛŋ
to think	piki	biyət	piki	ʔiŋɛt	piki	?	piki	piki	piki	pikir
to fall (drop)	dahɛs	dahɛs	dahɛs	dahɛs	dahɛs	?	dahɛs	dahɛs	rɛs	tbəl
to flow	ʔayũt	?	ʔali	ʔayũt	ʔayũt	?	ʔayũt	ʔayũt	wet	mŋalir
to rain	hujan	hujan	hujan	hujan	hujan	?	hujan	hujan	hĩc	hĩc
to burn	baka	tʔɔp	baka	cɔm	baka	?	baka	cos	tʔɔp	syɨŋ
to blow (of wind)	bos	?	hilhul	ʔaŋin bəw	hilhul	?	hilhul	hilhul	pɨt	thup
to swell	ʔɔpɔ̃h	kmbaŋ	kmbaŋ	plkuc	kmbaŋ	?	kmbaŋ	kmbaŋ	kmbaŋ	kmbaŋ
what?	cʔay	?	cʔay	cabap	caybap	?	cabap	cabap	mɛy ʔayoʔ	mamɛy
when?	?	kaduy	bilaʔ	bilaʔ	bilaʔ	?	bilaʔ	bilaʔ	mapuʔ bilaʔ	bilaʔ
where?	ʔnah pãn	ʔnah pãn	ʔnah pãn	ʔnah gɛl	ʔnah pãn	?	ʔnah pãn	ʔnah pãn	ma=teʔ ba=ʔɛ̃n	teʔ ba=ʔɛ̃n
who?	kɛn	?	makɛn	cʔay bap	makɛn	?	makɛn	makɛn	makɛn	kɛn
how?	maʔancin	?	maʔancin	cʔay bap	maʔancin	?	maʔancin	paʔancin	maʔacin	maʔancin
left (side)	kiri	wɛ̃ʔ	wɛ̃ʔ	wɛ̃ʔ	wɛ̃ʔ	?	wɛ̃ʔ	ʔndaŋ	wɛ̃ʔ	wĩʔ
right (side)	kanan	tem	tem	tem	tem	?	tem	ʔadeh	tem	tem
this	nuy	ʔə̃h	ʔũh	tudeh	ʔũh	?	tudeh	tudeh	tə̃h	tə̃h
that	tũn	tũn	tũn	taniʔ	tũn	?	tũn	ton	taniʔ	tũn
here	ʔũh	ʔə̃h	ʔũh	ʔũh	ʔũh	?	ʔũh	ʔũh	pdəh	ʔə̃h
there	tũn	?	taniʔ	taniʔ	tũn	?	taniʔ	ʔaniʔ	taniʔ	ʔaniʔ
many	kɔm	kɔm	kɔm	kɔm	kɔm	?	kɔm	kɔm	kɔm	kɔm
few, some	ʔhəy	ʔhəy	ʔhəy	ʔajɔʔ	ʔhəy	?	ʔhəy	ʔajɔʔ	ʔajɔʔ	ʔhəy
all	kɔm	kɔm	kɔm	kɔm	smwaʔ	?	kɔm	kɔm	kɔm	kɔm
and	dan	?	lɔʔ	dan	dan	?	ʔalɔʔ	lɔʔ	ʔalɔʔ	lɔʔ
because	sbap	sbap	sbap	cʔay bap	sbap	?	sbap	sbap	sbap	sbap
if	kaluʔ	kalaw	kaluʔ	kaluʔ	kaluʔ	?	kaluʔ	kaluʔ	kaluʔ	kaluʔ
not	blap	blap	blap	blap	blap	?	blap	blap	braʔ	blap
other	pãw	layin	pãw	layin	da=ʔasiŋ	?	pãw	layin	layin	layin
at	?	?	lɛŋ	da=	da=	?	da=	da=	k=la=	la=
in	daləm	daləm	daləm	daləm	daləm	?	?	daləm	daləm	?
with	lɔʔ	?	lɔʔ	lɔʔ	lɔʔ	?	lɔʔ	lɔʔ	ʔalɔʔ	lɔʔ
one	satuʔ	satuʔ	nay	nay	nay	?	nay	nɛy	nɛy	nɛy
two	dwaʔ	dwaʔ	dwaʔ	dwaʔ	dwaʔ	?	dwaʔ	dwaʔ	dwaʔ	dwaʔ
three	tigaʔ	tigaʔ	tigaʔ	tigaʔ	tigaʔ	?	tigaʔ	tigaʔ	tigaʔ	tigaʔ
four	ʔmpət	ʔmpət	ʔmpət	ʔmpət	ʔmpət	?	ʔmpət	ʔmpət	ʔmpət	ʔmpət
five	limaʔ	limaʔ	limaʔ	limaʔ	limaʔ	?	limaʔ	limaʔ	limaʔ	limaʔ
