Jedek1	Jedek3	Jedek4	Jedek2	Jedek18	Jedek13	Jedek39	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek6	Jedek5	Jedek37	Jedek20	Jedek25	Jedek26	Jedek33	Jedek32	Jedek16	Jedek22	Jedek14	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek10	Jedek35	Jedek17	Jedek36	Jedek19	Jedek24	Jedek29	Jahai2	Jahai4	Jahai1	Jahai15	Jahai12	Jahai13	Jahai11	Jahai9	Jahai5	Jahai10	Jahai18	Jahai17	Jahai7	Jahai8
1	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
2	boh	?	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	?	boh	boh	boh	?	boh	boh	boh	boh	boh
3	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	?	boh	boh
4	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	ʔisiʔ	boh	boh	boh	boh	boh
5	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	ckam	boh	boh	boh	boh	boh
6	boh	boh	simpən	boh	boh	boh	boh	susun	boh	boh	boh	ʔisiʔ	boh	boh	boh	boh	simpən	boh	boh	boh	boh	boh	boh	susun	boh	simpən	ʔisiʔ	boh	boh	boh	boh	boh	boh	ʔisiʔ	simpən	boh	boh	boh	ʔisiʔ	boh	boh	boh	boh	boh	boh	boh	boh	bah
7	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
8	hmpɛs	hmpɛs	hmpɛs	boh	hmpɛs	hmpɛs	yɔh	hwit	hmpɛs	hmpɛs	hmpɛs	hmpɛs	hmpɛs	boh	boh	hmpɛs	hmpɛs	hmpɛs	hmpɛs	hmpɛs	hmpɛs	hmpɛs	hmpɛs	boh	hmpɛs	boh	hmpɛs	yɔh	hmpɛs	boh	boh	hmpɛs	hmpɛs	hɔk	hmpɛs	hmpɛs	paŋkaʔ	hɔk	yɔh	yɔh	yɔh	hntɛk	yɔh	plihtuh	yɔh	yɔh	yɔh	boh
9	dahɛs	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	tbəl	hltuh	tbəl	tbəl	tbəl	dahɛs	dahɛs	hltuh	hltuh	tbəl	hltuh	hltuh	hltuh	?	tbəl	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	hltuh	tbəl	hltuh	hltuh	tbəl	hltuh	tbəl	tbəl	tbəl	tbəl	tbəl
10	hɔk	hwit	paŋkaʔ	hɔk	paŋkaʔ	hmpɛs	yɔh	hwit	paŋkaʔ	paŋkaʔ	paŋkaʔ	hɔk	hɔk	paŋkaʔ	paŋkaʔ	paŋkaʔ	paŋkaʔ	limpah	paŋkaʔ	hwit	hɔk	paŋkaʔ	paŋkaʔ	paŋkaʔ	hɔk	boh	hɔk	hɔk	limpah	paŋkaʔ	limpah	hmpɛs	paŋkaʔ	paŋkaʔ	limpah	paŋkaʔ	paŋkaʔ	hɔk	hɔk	hɔk	hɔk	paŋkaʔ	hɔk	paŋkaʔ	hɔk	hwit	paŋkaʔ	hɔk
11	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	ʔisiʔ	boh	ʔisiʔ	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
12	ʔisiʔ	p-hltuh	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	yɔh	boh	boh	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	ʔisiʔ	masuk	boh	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ
13	boh	tuh	boh	boh	boh	boh	boh	tuh	boh	p-guliŋ	tuh	ʔisiʔ	hɔk	boh	cʔɨʔ	boh	masuk	boh	cʔɨʔ	hwit	boh	boh	boh	boh	boh	tuh	cʔɨʔ	boh	ʔisiʔ	cʔɨʔ	boh	cʔɨʔ	boh	boh	boh	boh	boh	yɔh	boh	boh	tuh	toklɛk	sɔh	tuh	boh	boh	cʔɨʔ	boh
14	boh	lon	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	kintup	ʔisiʔ	boh	boh	ʔisiʔ	pel	ʔisiʔ	lon	pasaŋ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	pet	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	masuk	ʔisiʔ	ʔisiʔ	sumɛt	ʔisiʔ	sumɛt	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ
15	boh	lon	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	masuk	boh	masuk	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	pel	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ
16	ʔisiʔ	ʔisiʔ	saŋgruk	boh	ʔisiʔ	ʔisiʔ	saŋgruk	ʔisiʔ	boh	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	boh	boh	boh	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ
17	dlit	lon	ʔisiʔ	dlit	ktel	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	sumat	ʔisiʔ	sumat	lon	ktel	ʔisiʔ	ʔisiʔ	masuk	ʔisiʔ	ʔisiʔ	sumat	boh	sumat	ʔisiʔ	pel	ʔisiʔ	ktel	ʔisiʔ	ktel	sumat	ktel	ʔisiʔ	ʔisiʔ	sumat	masuk	ʔisiʔ	ʔisiʔ	sumɛt	ktel	ktel	sumɛt	ʔisiʔ	ʔisiʔ	ʔisiʔ	ktel	ʔisiʔ	ʔisiʔ	ʔisiʔ	dlit
18	caduk	caduk	caduk	caduk	boh	caduk	caduk	caduk	boh	caduk	caduk	caduk	caduk	caduk	caduk	caduk	caduk	ʔisiʔ	caduk	cɔk	boh	boh	caduk	caduk	caduk	caduk	caduk	caduk	caduk	caduk	boh	ʔisiʔ	caduk	cɔk	caduk	boh	lon	cɔk	caduk	caduk	caduk	lon	saŋgruk	caduk	caduk	caduk	caduk	saŋgruk
19	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	jruk	ʔisiʔ	boh	boh	boh	boh	boh	boh	boh	ʔisiʔ	boh	boh	yɔh	boh	boh	jruk	boh	boh	boh	masuk	boh	boh	ʔisiʔ	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
20	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ
21	hãc	hãc	hãc	hãc	hãc	?	?	?	hãc	hãc	hãc	hãc	hãc	hãc	hãc	hãc	plpɛ̃l	hãc	?	?	?	hãc	hãc	hãc	hãc	hãc	hãc	hãc	?	hãc	hãc	hãc	hãc	hãc	?	hãc	hɛ̃c	hãc	?	?	hɛ̃c	?	hɛ̃c	hɛ̃c	hɛ̃c	hãc	hɛ̃c	hɛ̃c
22	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	?	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk
23	lkaʔ	lkaʔ	lon	lon	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	saŋgruk	lkaʔ	masuk	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ
24	jrloʔ	lon	jklɔk	jruk	jlɔ̃k	jlɔ̃k	saŋgruk	jruk	boh	rndəm	smlɛm	ʔisiʔ	boh	boh	jruk	cilɔ̃m	jlɔp	saŋgruk	ʔisiʔ	jlɔp	jruk	jruk	ʔisiʔ	ʔɛk	ʔisiʔ	rndəm	kibuk	jlɔ̃k	jruk	jruk	jruk	cilɔ̃m	jlɔp	jlɔ̃k	jruk	ʔisiʔ	masuk	jruk	ypyɔp	cilɔ̃m	cilɔ̃m	toŋgɛŋ	jruk	jruk	jruk	jklɔk	ʔnay	cilɔ̃m
25	pakɛy	pakɛy	pakɛy	pakɛy	bləh	pakɛy	boh	boh	pakɛy	pakɛy	pakɛy	pakɛy	pakɛy	pakɛy	boh	boh	boh	pakɛy	boh	pakɛy	pakɛy	saŋgruk	pakɛy	pakɛy	boh	bləh	boh	pakɛy	pakɛy	boh	pakɛy	boh	boh	pakɛy	saŋgruk	pakɛy	ʔisiʔ	boh	pakɛy	pakɛy	saŋgruk	pakɛy	bləh	pakɛy	bləh	boh	boh	pakɛy
26	pakɛy	pakɛy	pakɛy	pakɛy	bləh	bləh	saŋgruk	lɔp	bləh	bləh	bləh	pakɛy	pakɛy	pakɛy	saŋgruk	bləh	bləh	saŋgruk	pakɛy	pakɛy	bləh	pakɛy	pakɛy	boh	pakɛy	bləh	bləh	pakɛy	bləh	bləh	pakɛy	saŋgruk	pakɛy	bləh	bləh	pakɛy	bləh	pakɛy	pakɛy	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	pakɛy
27	boh	boh	boh	boh	gantoŋ	boh	gantoŋ	saŋkut	boh	boh	boh	hipɛt	boh	boh	saŋkut	saŋkut	boh	hipɛt	boh	boh	boh	boh	boh	boh	hipɛt	boh	sipɛt	boh	gantoŋ	hipɛt	boh	hipɛt	saŋkut	saŋkut	saŋkut	hipɛt	boh	boh	saŋkut	saŋkut	gantoŋ	hipɛt	saŋkut	saŋkut	hipɛt	boh	srpɛk	saŋkut
28	tipet	timpɛʔ	timpɛʔ	tipet	timpɛʔ	tipet	tibɛŋ	tipet	boh	tipet	timpɛʔ	tipet	tipet	tampãl	tipet	timpɛʔ	tipet	pet	pet	pet	boh	tipet	timpɛʔ	plet	timpɛʔ	pet	timpɛʔ	pet	pet	tibɛŋ	timpɛʔ	tipet	timpɛʔ	timpɛʔ	boh	tipet	tipet	tipet	boh	pridɛŋ	timpɛʔ	timpɛʔ	timpɛʔ	tipet	tibɛŋ	pet	tibɛŋ	tipet
31a	?	?	?	?	?	ʔaŋket	ʔaŋket	?	?	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	ʔaŋket	?	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	?	ʔaŋket	?	?	?	?	?	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket
31b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	tuduŋ	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	tuduŋ	boh	liŋkuk	tutup	boh	boh	boh	boh	boh	boh
33	pakɛy	pakɛy	pakɛy	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	pakɛy	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	pakɛy	pakɛy	bləh	pakɛy	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh
35	boh	boh	boh	boh	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	boh	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	masuk	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ
50a	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
50b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh
51a	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	jĩŋ	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
51b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
