	Jedek1	Jedek4	Jedek2	Jedek18	Jedek13	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek5	Jedek37	Jedek15	Jedek29	Jedek32	Jedek25	Jedek26	Jedek33	Jedek16	Jedek22	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek36	Jedek20	Jedek14	Jedek35	Jedek17	Jedek19	Jedek24	Jahai11	Jahai9	Jahai13	Jahai7	Jahai14	Jahai4	Jahai15	Jahai2	Jahai12	Jahai1	Jahai8	Jahai10	Jahai18	Jahai17
33	?	?	ʔɛl	?	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ticmic	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	?	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔɛl	ʔɛl	ʔilʔɛl	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	titlət	?	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	?	ʔɛl
34	bagiʔ	ʔikʔɛk	baɲci	bagiʔ	biʔgiʔ	ʔɛk	bagiʔ	pisləs	bagiʔ	baɲci	ʔikʔɛk	ʔikʔɛk	bagiʔ	bagiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	?	ʔikʔɛk	biʔgiʔ	biʔgiʔ	bagiʔ	baɲci	ʔɛk	bagiʔ	ʔikʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	biʔgiʔ	biʔgiʔ	ʔikʔɛk	bagiʔ	ʔɛk	biʔgiʔ	bagiʔ	ʔikʔɛk	bagiʔ	bagiʔ	ʔɛk	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	bagiʔ
35	hatut	susun	picɨn	susun	boh	?	?	toŋkɛt	boh	himpon	susun	boh	boh	picɨn	cuntuk	kacep	susun	kapit	kalaŋ	hatow	cuktuk	diʔ	diʔ	hatow	hatow	boh	susun	cuntuk	picɨn	cuntuk	boh	diʔ	plagaʔ	diʔ	boh	boh	cuntuk	boh	taŋkok	boh	boh	tihpɛh	boh	giʔ	cuntuk	boh
36	hamɛt	hitmɛt	?	?	hitmɛt	?	?	hitmɛt	hitmɛt	hitmat	?	htmɛt	?	?	hitmɛt	hitmat	hitmɛt	?	?	mayin	hitmɛt	hitmɛt	hitmɛt	hamɛt	prikluk	?	hitmɛt	hitmɛt	?	hitmɛt	hitmɛt	?	hitmat	hitmɛt	hamɛt	hamɛt	hitmat	?	hoŋal	prikluk	?	hitmɛt	?	hamat	hitmɛt	hitmɛt
37	ʔɛk	ʔikʔɛk	baɲci	biʔgiʔ	biʔgiʔ	ʔɛk	bagiʔ	b-gilih	biʔgiʔ	baɲci	biʔgiʔ	ʔikʔɛk	bagiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	ʔɛk	ʔikʔɛk	ʔɛk	ʔɛk	baɲci	ʔikʔɛk	bagiʔ	ʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	biʔgiʔ	bagiʔ	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	bagiʔ	bagiʔ	baɲci	bagiʔ	ʔikʔɛk	bagiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ
38	salam	mɲamut	salam	salam	cipcɛp	mɲamut	salam	salam	?	salam	salam	ʔaŋket	pŋgɛŋ	mɲamut	pimpɔ̃m	piŋgɛŋ	pimpɔ̃m	cipcɛp	cipcɛp	salam	salam	salam	?	ʔaŋket	salam	mɲitmut	cipcɛp	piŋgɛŋ	sitmut	salam	salam	?	sitmut	salam	sambut	piŋgɛŋ	sitmut	salam	mɲamut	salam	sambut	salam	piŋgɛŋ	mɲamut	pimpɔ̃m	ʔɛk
39	?	hitmɛt	hitmɛt	?	hitmɛt	?	?	hitmɛt	hitmɛt	hitmat	lɔy	?	?	hamɛt	hamɛt	hitmat	hitmɛt	hamɛt	hitmɛt	hitmɛt	?	?	hitmɛt	hamɛt	hitmɛt	?	hamɛt	?	?	hitmɛt	hitmɛt	hitmɛt	hitmat	hitmɛt	hitmat	hitmɛt	?	?	?	?	?	hitmɛt	?	?	hitmɛt	?
40	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	kicɛʔ	likluk	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	kiʔcɛʔ	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	kiʔcɛʔ	kicɛʔ	cilcɔl	cɔl	cilcɔl	clcɔl	cilcɔl	cilcɔl	cilcɔl
41	toka	ʔikʔɛk	toka	toka	toka	toka	ʔikʔɛk	toka	ʔɛk	toka	ʔikʔɛk	?	ʔikʔɛk	biʔgiʔ	toka	biʔgiʔ	biʔgiʔ	ʔikʔɛk	ʔɛk	toka	toka	ʔikʔɛk	ʔɛk	ʔikʔɛk	toka	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	bagiʔ	toka	toka	ʔikʔɛk	ʔikʔɛk	toka	torkar	biʔgiʔ	b-gilir	toka	ʔikʔɛk	toka	tokar	toka	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk
42	guhcɔh	pilpal	?	guhcɔh	guhcɔh	guhcɔh	ktɨm	gucɔh	guhcɔh	guhcɔh	?	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tŋɨk	guhcɔh	gustih	guhcɔh	guhcɔh	pilpal	guhcɔh	gucɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tiʔmboʔ	gihcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	gihcɔh	lihpah	guhcɔh	guhcɔh
43	?	?	hitmɛt	?	hitmɛt	hitmat	hitmat	hamɛt	hitmɛt	hitmat	hitmat	?	?	piŋraŋ	lɔy	hitmat	hitmɛt	hitmɛt	?	hitmat	hitmɛt	hitmɛt	?	hamɛt	hamɛt	?	hitmɛt	hitmɛt	hitmɛt	hitmɛt	hitmɛt	?	hitmat	hamɛt	hamɛt	hamɛt	hitmat	hitmat	?	?	hitmat	?	hitmɛt	?	hitmɛt	?
44	pilpal	pilpal	pilpal	pal	pilpal	guhcɔh	pilpal	?	?	pilpal	pal	?	lihpah	prikluk	lihpah	lihpah	lihpah	tŋkɨk	pilpal	lihpah	?	pilpal	pilpal	pilpal	pilpal	lihpah	pilpal	pilpal	lmpah	lmpah	tampəh	tiɲuɲ	lihpah	kimtɨm	lihpah	?	lihpah	pilpal	guhcɔh	pal	kimtɨm	lmpah	gihcɔh	?	pilpal	kusɛʔ
45	pimpɔ̃m	miymay	may	miymay	miymay	may	miymay	tikrik	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	may	bayɛʔ	may	tikrik	miymay	miymay	miymay	may	miymay	miymɛy	mɛy	mɛy	mɛy	mɛy	miymɛy	mɛy	may	drəc	miymay	ricrə̃c	mɛy	miymay	mɛy
46	?	ʔilʔɛl	?	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	?	ʔilʔɛl	?	?	?	ʔilʔɛl	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	?	ʔilʔɛl	?	?	ʔilʔɛl	?	?	?	?	?	?	?	?	ʔilʔɛl	?	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	?	?	?	ʔɛl
47	?	kimʔəm	knʔəm	kimʔəm	kmʔəm	?	?	kmʔəm	?	?	knʔəm	?	knʔəm	?	kimʔəm	kmʔəm	?	?	?	?	kmʔəm	?	?	kmʔəm	knʔəm	?	kmʔəm	?	?	kmʔəm	kimʔəm	?	?	?	?	?	kimʔəm	?	?	?	kmʔəm	?	?	kmʔəm	?	?
48	pal	pilpal	piŋkuh	tiŋkoh	guhcɔh	gucɔh	kimtɨm	gucɔh	guhcɔh	guhcɔh	guhcɔh	pilpal	guhcɔh	tiɲuɲ	tmpis	?	gihcɔh	kimtɨm	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tiʔmboʔ	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tiʔmboʔ	?	guhcɔh	guraw	tiɲuɲ	tiʔmboʔ	gihcɔh	pihkoh	guhcɔh	kiʔtoʔ	guhcɔh	guhcɔh	tiŋkok	tictɔc	gilsil	plpal	gucɔh	pilpal	pilpal
49	salam	mɲamut	salam	salam	cipcɛp	mɲamut	cipcɛp	salam	salam	mɲamut	salam	piŋgɛŋ	pgɛŋ	mɲamut	mɲamut	piŋgɛŋ	pimpɔ̃m	?	cipcɛp	?	salam	salam	salam	mɲamut	salam	mɲamut	sitmut	piŋgɛŋ	sitmut	sambut	salam	sitmut	simlam	mɲitmut	sambut	piŋgɛŋ	sitmut	salam	mɲamut	salam	sambut	salam	pimpɔ̃m	mɲamut	pimpɔ̃m	ʔaŋket
50	pal	pilpal	pilpal	pilpal	pilpal	lmpah	tampah	lmpah	pilpal	pilpal	pilpal	pilpal	plpal	tihpɛh	lihpah	lihpah	pilpal	pilpal	pilpal	lihpah	tiʔpoʔ	pilpal	pilpal	pilpal	pilpal	pilpal	lihpah	pilpal	lihpah	pilpal	pilpal	tampəh	lmpah	lihpah	pikyok	tiʔpoʔ	lihpah	pilpal	tihpuh	pilpal	lmpah	pilpal	pilpal	pah	pilpal	lihpah
51	diʔ	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	mɛy	?	mɛy	mɛy	may	mɛy	?	may	mɛy	may	miymay	mɛy	may	mɛy
52	knʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	kimʔəm	knʔəm	kmʔəm	kimʔəm	kimʔəm	knʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	?	?	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kmʔəm	knʔəm	kmʔəm	kimʔəm	?	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	?	kimʔəm	kmʔəm	kimʔəm	knʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm
53a	paŋkah	kalaŋ	paŋkah	palaŋ	kalaŋ	jriwãŋ	paŋkah	kalaŋ	kalaŋ	himpon	kalaŋ	gantoŋ	kalaŋ	kalaŋ	jrmtɨm	kalaŋ	kalaŋ	kalaŋ	kalaŋ	jrawãŋ	cpek	diʔ	kalaŋ	kalaŋ	paŋkah	kalaŋ	b-kalaŋ	kalaŋ	kalaŋ	kalaŋ	kalaŋ	diʔ	palaŋ	diʔ	boh	kalaŋ	boh	kalaŋ	kalaŋ	kalaŋ	sandɛŋ	hatuh	kalaŋ	kalaŋ	pihkəh	kalaŋ
53b	diʔ	kalaŋ	pincɨn	boh	boh	b-cuntuk	cuntuk	toŋkɛt	kalaŋ	blato	kalaŋ	kalaŋ	boh	susun	cuntuk	hɲjaɲ	cuntuk	p-hajɨl	tŋkat	cpek	tuŋkuʔ	diʔ	diʔ	saŋkut	ŋɔk	boh	tŋkat	picɨn	picɨn	cuntuk	p-hajɨl	diʔ	diʔ	diʔ	cuntuk	boh	toŋkat	toŋkat	picin	diʔ	boh	diʔ	boh	diʔ	piwek	piwek
54	pilpal	pilpal	pilpal	pilpal	lmpah	lihpah	plpal	lmpah	tpoʔ	lmpah	pilpal	pilpal	lmpah	lmpah	lihpah	pikpak	pilpal	?	pilpal	lihpah	lmpah	pilpal	lmpah	pilpal	pal	lmpah	pal	lmpah	lahɔm	lmpah	pilpal	lihpah	lihpah	lihpah	lmpah	lmpah	lihpah	pilpal	tihpuh	pilpal	tampəh	pal	?	lmpah	pilpal	lihpah
55	?	tmpuh	tiŋkoh	tihpuh	gilsil	tŋkɨk	tmpuh	tmpuh	tlisih	tnihpuh	tnihpuh	?	tmpuh	b-tŋka	slihsih	kiŋlɨ̃ŋ	gilsil	?	tmpuh	tihpuh	thpuh	silgil	gilsil	tlisih	tumpuh	tmpuh	kiŋlɨ̃ŋ	tmpuh	tmpuh	tmpuh	gilsil	?	gilsil	tihpuh	tiŋndaŋ	guhcɔh	tlisih	kilsil	tlihsih	?	?	pal	khil	gilsil	?	klɨ̃ŋ
56	may	miymay	may	may	miymay	miymay	miymay	miymay	miymay	may	miymay	may	may	may	miymay	may	miymay	miymay	miymay	miymay	may	miymay	miymay	miymay	may	may	may	may	miymay	miymay	may	miymay	miymɛy	mɛy	mɛy	mɛy	may	mɛy	may	may	mɛy	may	miymay	mɛy	miymay	mɛy
57	plpal	pilpal	pilpal	pilpal	lmpah	gucɔh	pal	pilpal	pilpal	lmpah	pilpal	lihpah	pilpal	lihpah	lihpah	lihpah	pilpal	pilpal	pilpal	lihpah	lihpah	pilpal	pilpal	pilpal	pal	pilpal	pilpal	pilpal	pilpal	pilpal	pilpal	pikyok	lmpah	pikpak	lihpah	lihpah	lihpah	pilpal	?	pilpal	tampəh	pilpal	plpal	lihpah	pilpal	bihlɔh
58	?	kimʔəm	knʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kinʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	knʔəm	kimʔəm	?	kmʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	?	ʔmʔəm	kinʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm
59	tnisdes	tmpuh	tmpuh	tmpuh	tnisdes	gilsil	silgil	snitkut	tlisih	tmpuh	tmpuh	tmpuh	tiŋkoh	tiŋkoh	tnisdes	kiŋlɨ̃ŋ	gilsil	tnisdes	tnisdes	tmpuh	klisil	silgil	tiŋkoh	krilsil	?	gilsil	gilsil	tmpuh	tmpuh	gilsil	sipat	tnisdes	gilsil	glsil	gilsil	gilsil	gilsil	tiŋkoh	tlihsih	tmpuh	tmpuh	gilsil	gisɛʔ	gilsil	glsil	tnisdes
60	pryə	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	pryə	pryə	pryə	ʔɛl	ʔɛl	pryə	puyə	ʔɛl	ʔɛl	puyə	ʔɛl	ʔɛl	puyə	puyə	puyə	ʔɛl	ʔɛl	ʔɛl	ʔɛl	pryə	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	pryər	ʔɛl	ʔɛl	ʔɛl	pryər	ʔɛl	ʔɛl	ʔɛl	?	pryə	ʔilʔɛl	ʔɛl	ʔilʔɛl	ʔɛl
61	knʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	?	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kinʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	?	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	knʔəm	kmʔəm	kimʔəm	kmʔəm	?	kmʔəm	kimʔəm	kimʔəm	?	kimʔəm	ʔiɲʔɔ̃ɲ	kimʔəm	kimʔəm	kimʔəm	kimʔəm	knʔəm	knʔəm	knʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm
62	b-salam	mɲamut	salam	salam	cipcɛp	mɲamut	salam	miʔmɛʔ	kumpul	mɲamut	salam	sitmut	pŋgɛŋ	mɲamut	salam	piŋgɛŋ	pimpɔ̃m	cipcɛp	cipcɛp	salam	salam	salam	salam	mɲamut	salam	mɲamut	cipcɛp	piŋgɛŋ	diʔ	salam	salam	pimpɔ̃m	sitmut	mɲamut	sambut	piŋgɛŋ	sitmut	mɲamut	krumun	salam	sambut	salam	pimpɔ̃m	mɲamut	pimpɔ̃m	ʔaŋket
63	salam	mɲamut	salam	salam	mɲamut	mɲamut	cipcɛp	salam	salam	mɲamut	salam	mɲitmut	pgɛŋ	mɲamut	salam	piŋgɛŋ	pimpɔ̃m	cipcɛp	cipcɛp	salam	salam	salam	?	pimpɔ̃m	salam	?	sambut	piŋgɛŋ	sitmut	sambut	salam	sitmut	pimpɔ̃m	mɲamut	sambut	piŋgɛŋ	sitmut	piŋgɛŋ	jabat	salam	?	salam	cipcɨp	mɲamut	pimpɔ̃m	ʔaŋket
64	pmpem	?	pmpem	pmpem	hitmɛt	bruŋal	hitmat	hitmɛt	?	?	?	?	pmpem	pmpem	?	hitmat	hitmɛt	?	pmpem	hitmat	hitmɛt	hitmɛt	hitmɛt	hamɛt	pimpem	pmpem	?	pmpem	?	hitmɛt	hitmɛt	pmpem	hitmat	hitmɛt	hamɛt	hamat	hitmat	hitmat	hoŋal	hitmɛt	hitmat	prikluk	?	hamat	hitmɛt	lɔy
